,City,Country,Max Temp,Lat,Lng,Hotel Name
490,Monrovia,LR,77.14,6.3005,-10.7969,Sunset Inn
496,Sulangan,PH,85.6,11.1373,123.7228,Maia's Beach Resort
497,Cockburn Town,TC,79.86,21.4612,-71.1419,Osprey Beach Hotel
502,Tual,ID,82.29,-5.6667,132.75,Grand Vilia Hotel
513,Taunggyi,MM,75.72,20.7833,97.0333,True Treasure Hotel
514,Saint-Joseph,RE,80.98,-21.3667,55.6167,"""Plantation Bed and Breakfast"
518,Sinazongwe,ZM,76.1,-17.2614,27.4618,Lakeview Lodge
521,Matara,LK,83.28,5.9485,80.5353,Amaloh Boutique Resort
525,Pyapon,MM,87.69,16.2833,95.6833,Aung Naing Thu Motel
528,Wewak,PG,82.8,-3.5534,143.6268,In Wewak Boutique Hotel
530,Trincomalee,LK,81.12,8.5711,81.2335,Welcombe Hotel
533,Isla Mujeres,MX,78.85,21.2311,-86.731,Hotel La Joya Isla Mujeres
545,Lar,IN,79.52,26.2039,83.9717,Ovaiskarni ward Lar
549,Mogadishu,SO,84.07,2.0371,45.3438,Hotel Juba
550,Kalmunai,LK,83.01,7.4167,81.8167,VS Villa
551,Oistins,BB,77.09,13.0667,-59.5333,Butterfly Beach Hotel
553,Odweyne,SO,75.15,9.4092,45.064,Eng Hiirey House
554,Port Keats,AU,87.49,-14.25,129.55,Kardu Durrikardu Numida Hostel
555,Noumea,NC,85.98,-22.2763,166.4572,Hôtel Le Lagon
558,Sumbe,AO,77.59,-11.2061,13.8437,Hotel Ritz Sumbe
559,Nishihara,JP,82.06,26.1842,127.7558,Minshuku Agaihama
560,Polewali,ID,85.08,-3.4324,119.3435,Lilianto Hotel
